ID,protocol,success,keygen_time,derive_time,kdf_time,total_time,key_size,error
20,ECDH,True,0.00031749997287988663,0.00022029993124306202,5.910010077059269e-05,0.0010047999676316977,32,
21,ECDH,True,0.00024780002422630787,0.00022709998302161694,5.959998816251755e-05,0.000843200134113431,32,
22,ECDH,True,0.00033089984208345413,0.00023870007134974003,6.449990905821323e-05,0.000987200066447258,32,
23,ECDH,True,0.0004692000802606344,0.00022069993428885937,5.770009011030197e-05,0.0011011001188308,32,
24,ECDH,True,0.00029770005494356155,0.00021070009097456932,5.7099852710962296e-05,0.0009735999628901482,32,
25,ECDH,True,0.0003909999504685402,0.00022469996474683285,6.310013122856617e-05,0.001092399936169386,32,
26,ECDH,True,0.0002896001096814871,0.0002242999617010355,5.859998054802418e-05,0.0009745999705046415,32,
27,ECDH,True,0.00024710013531148434,0.00023160013370215893,6.069988012313843e-05,0.0010175001807510853,32,
28,ECDH,True,0.0002544000744819641,0.00023220013827085495,5.970010533928871e-05,0.0008771000429987907,32,
29,ECDH,True,0.0002530000638216734,0.0003429001662880182,9.21997707337141e-05,0.0010867000091820955,32,
30,ECDH,True,0.0002695999573916197,0.00024329987354576588,6.560003384947777e-05,0.0009650001302361488,32,
31,ECDH,True,0.00026350002735853195,0.0002802000381052494,6.389990448951721e-05,0.0009816000238060951,32,
32,ECDH,True,0.000421999953687191,0.00021900003775954247,0.00012580002658069134,0.001148400129750371,32,
33,ECDH,True,0.000250800047069788,0.000242199981585145,5.969987250864506e-05,0.0008849999867379665,32,
34,ECDH,True,0.00026100012473762035,0.00022680009715259075,5.669984966516495e-05,0.0008759999182075262,32,
35,ECDH,True,0.00025420007295906544,0.00022369995713233948,5.7999975979328156e-05,0.0008735998999327421,32,
36,ECDH,True,0.0002528000622987747,0.00020499993115663528,5.430006422102451e-05,0.000820100074633956,32,
37,ECDH,True,0.00025630020536482334,0.00022220006212592125,5.5900076404213905e-05,0.0008264998905360699,32,
38,ECDH,True,0.000250800047069788,0.0002202000468969345,5.669984966516495e-05,0.0007905000820755959,32,
39,ECDH,True,0.0002375999465584755,0.00022000004537403584,5.449983291327953e-05,0.0012421999126672745,32,
40,ECDH,True,0.00030000018887221813,0.00023170001804828644,5.950010381639004e-05,0.0010170999448746443,32,
41,ECDH,True,0.00025669997557997704,0.0002250999677926302,5.819997750222683e-05,0.0009238000493496656,32,
42,ECDH,True,0.0004588998854160309,0.00027900002896785736,0.0001004999503493309,0.0014615999534726143,32,
